id,video_id,old,new
salon-039,2KEDFrtlQTY,/archive/salon-039/,/archive/salon-039-old-school-open-mic-obsolescence/
salon-040,Z-RFTbQ7GF8,/archive/salon-040/,/archive/salon-040-collage-show-and-tell/
salon-041,XUBL7L41hjA,/archive/salon-041/,/archive/salon-041-climate-show-and-tell/
salon-042,QcotNCjBuIQ,/archive/salon-042/,/archive/salon-042-techspressionism-digital-and-beyond-international/
salon-043,KyBLFghq4N0,/archive/salon-043/,/archive/salon-043-femme-tech/
salon-044,PecHOYGSnWY,/archive/salon-044/,/archive/salon-044-east-end-tech/
salon-045,pxavr84wDJs,/archive/salon-045/,/archive/salon-045-and-beyond-show-and-tell/
salon-046,xo2ql3MgJlw,/archive/salon-046/,/archive/salon-046-weird-media/
salon-047,ggbxdDYOEz4,/archive/salon-047/,/archive/salon-047-materiality/
salon-048,WCOXAr5_wdE,/archive/salon-048/,/archive/salon-048-adaptation/
salon-049,iVP63DGbCGY,/archive/salon-049/,/archive/salon-049-movement/
salon-050,zj79kXJHdFU,/archive/salon-050/,/archive/salon-050-output-and-fabrication/
salon-051,xTm1wXYzdCI,/archive/salon-051/,/archive/salon-051-ai-engines-friend-or-foe/
salon-052,LuFuRGhgnmQ,/archive/salon-052/,/archive/salon-052-art-and-physics/
salon-053,ACwcZ2XHb9E,/archive/salon-053/,/archive/salon-053-photography-and-media-confluence/
salon-054,NFt4AfP-aRA,/archive/salon-054/,/archive/salon-054-open-studios/
salon-055,sfMxOAC97Yo,/archive/salon-055/,/archive/salon-055-the-nft-space/
salon-056,I7-nXjL2koA,/archive/salon-056/,/archive/salon-056-cultural-influences/
salon-057,Q_5yvTBIL5M,/archive/salon-057/,/archive/salon-057-nightmares/
salon-058,7zhZis1d3po,/archive/salon-058/,/archive/salon-058-dreams/
salon-059,M3lz4NxC8N4,/archive/salon-059/,/archive/salon-059-ai-trends-and-issues/
salon-060,Iu25Pv7EqK0,/archive/salon-060/,/archive/salon-060-media-platforms/
salon-061,axa3_RqLoWw,/archive/salon-061/,/archive/salon-061-open-studios/
salon-062,k8Prps3LUKE,/archive/salon-062/,/archive/salon-062-art-pirates/
salon-063,j-nNutQp8wc,/archive/salon-063/,/archive/salon-063-breaking-borders/
salon-064,hyYpGwwt2G0,/archive/salon-064/,/archive/salon-064-layers/
salon-065,qBc4IjFobIg,/archive/salon-065/,/archive/salon-065-revolution/
salon-066,UBx4LDG--60,/archive/salon-066/,/archive/salon-066-mediums/
salon-067,-m_aiHkazGI,/archive/salon-067/,/archive/salon-067-untitled/
salon-068,vMQWnv70FvA,/archive/salon-068/,/archive/salon-068-appropriation/
salon-069,90wRPqAgA98,/archive/salon-069/,/archive/salon-069-monochrome/
salon-070,GW0Vig0R8wA,/archive/salon-070/,/archive/salon-070-learning-through-making/
salon-071,rYpn_GAV3I4,/archive/salon-071/,/archive/salon-071-growth/
salon-072,zsJAhBFVn5s,/archive/salon-072/,/archive/salon-072-environment/
salon-073,oimOOlyY0BY,/archive/salon-073/,/archive/salon-073-counterpoint/
salon-074,IzL0mVtw8do,/archive/salon-074/,/archive/salon-074-taking-stock-open-mic/
salon-075,UwkMNkLGZ6Q,/archive/salon-075/,/archive/salon-075-falling-leaves/
salon-076,ni_Sr6-zBXg,/archive/salon-076/,/archive/salon-076-phreaking/
salon-077,e58ctMQ-ccc,/archive/salon-077/,/archive/salon-077-december-7-2023/
salon-078,fEzz3PiADrU,/archive/salon-078/,/archive/salon-078-january-4-2024/
salon-079,AXCiQqjVHyA,/archive/salon-079/,/archive/salon-079-photography/
salon-080,EoF3pT-iZSg,/archive/salon-080/,/archive/salon-080-march-7-2024/
salon-081,VfiH4ayJbGE,/archive/salon-081/,/archive/salon-081-april-4-2024/
salon-082,Lc0jSsfTb9A,/archive/salon-082/,/archive/salon-082-april-4-2024/
