salon_number,path,ext,size_bytes
,STEVE/miller_interview_featured.jpg,jpg,73957
,SUZANNE/Adobe Premiere Pro Auto-Save/SUZANNE_ANKER_INTERVIEWED_BY_HELEN_HARRISON-2022-02-28_15-17-03.prproj,prproj,13764
,SUZANNE/Adobe Premiere Pro Auto-Save/SUZANNE_ANKER_INTERVIEWED_BY_HELEN_HARRISON.prproj,prproj,13764
,SUZANNE/GMT20220228-180818_Recording.m4a,m4a,34235582
,SUZANNE/GMT20220228-180818_Recording_2560x1440.mp4,mp4,408197656
,SUZANNE/GMT20220228-180818_Recording_gallery_2560x1440.mp4,mp4,278208407
,SUZANNE/SUZANNE_ANKER_INTERVIEWED_BY_HELEN_HARRISON.mp4,mp4,728373613
,SUZANNE/SUZANNE_ANKER_INTERVIEWED_BY_HELEN_HARRISON.prproj,prproj,13764
,SUZANNE/suzanne_WP.jpg,jpg,69536
,SUZANNE/suzanne_WP.psd,psd,5401988
,SUZANNE/suzanne_YT.jpg,jpg,132736
,SUZANNE/suzanne_YT.psd,psd,13151099
,TOMMY/Tommy Mintz interviewed by Michael Pierre Price.mp4,mp4,264233703
,TOMMY/tommy_mintz_interview_061721.jpg,jpg,78794
,TOMMY/tommy_mintz_square.jpg,jpg,247324
,TOMMY/tommy_mintz_square.psd,psd,31547095
,VERNEDA/GMT20230203-190422_Recording.m4a,m4a,61254859
,VERNEDA/GMT20230203-190422_Recording_1746x798.mp4,mp4,502138075
,VERNEDA/GMT20230203-190422_Recording_gallery_1746x798.mp4,mp4,395536365
,VERNEDA/ZIIN/GMT20230203-190422_Recording.m4a,m4a,61254859
,VERNEDA/ZIIN/GMT20230203-190422_Recording_1746x798.mp4,mp4,502138075
,VERNEDA/ZIIN/GMT20230203-190422_Recording_gallery_1746x798.mp4,mp4,395536365
,VERNEDA/gullah me 2.0 nft verneda lights presentation cover.pdf,pdf,7812491
,VERNEDA/gullah me vlights aniconic frontispiece verneda lights 10282022.jpeg,jpeg,50227
,VERNEDA/verneda_lights_interview.jpg,jpg,375004
,VERNEDA/verneda_lights_interview.psd,psd,11294246
,VICTOR/Adobe Premiere Pro Auto-Save/VIC-2022-01-08_07-17-15.prproj,prproj,13401
,VICTOR/Adobe Premiere Pro Auto-Save/VIC-2022-01-08_07-37-27.prproj,prproj,14527
,VICTOR/Adobe Premiere Pro Auto-Save/VIC.prproj,prproj,14527
,VICTOR/GMT20220107-210929_Recording.m4a,m4a,98582378
,VICTOR/GMT20220107-210929_Recording_2018x1130.mp4,mp4,759448337
,VICTOR/GMT20220107-210929_Recording_gallery_2018x1130.mp4,mp4,539218260
,VICTOR/Interview Cuts.prproj,prproj,6330
,VICTOR/VIC.prproj,prproj,14527
,VICTOR/techspressionist_artist_interview_victor_acevedo.mp4,mp4,2026585406
,VICTOR/victor_avevedo_WP.jpg,jpg,145949
,VICTOR/victor_avevedo_WP.psd,psd,9917980
,VICTOR/victor_avevedo_YT.jpg,jpg,270783
,VICTOR/victor_avevedo_YT.psd,psd,28032267
,interview_02_spalter.jpg,jpg,437332
,interviews.psd,psd,26241615
